companies,prices,locations,published_by,floors,construction_status,start_price,final_price,price_range,locality,floor_plan
Aurobindo Tattva Sansa County,,"in Peddakanjerla , Hyderabad",by Aurobindo Tattva Township Developers LLP,2 Floor Plan,Possession in 2027,,[],[],['in Peddakanjerla '],['2']
Tejhas Hari Nivas,,"in Shankarpalle Rangareddy , Hyderabad",0,1 Floor Plan,Possession in 2027,,[],[],['in Shankarpalle Rangareddy '],['1']
Sree Devi Green Planet ,,"in Farook Nagar, Vattepally , Hyderabad",0,,Possession in 2024,,[],[],['in Farook Nagar'],[]
M S Sree Balaji Township,,"in Keshampet , Hyderabad",0,,Possession in 2024,,[],[],['in Keshampet '],[]
Onella Lakshmi Grandeur,,"in Mahalneknapur , Hyderabad",0,1 Floor Plan,Possession in 2025,,[],[],['in Mahalneknapur '],['1']
Chaitanya Emerald,,"in Hyder Nagar, NH 9 , Hyderabad",by Sri Chaitanyaram Builders,3 Floor Plan,Possession in 2025,,[],[],['in Hyder Nagar'],['3']
Tirumala Royal Homes,,"in Pocharam, NH 2 2 , Hyderabad",by Tirumala Developers Constructions,,Possession in 2025,,[],[],['in Pocharam'],[]
Sri Gayatri Amara,,"in Shaikpet , Hyderabad",by Sri Gayatri Housing Pvt. Ltd.,,Possession in 2025,,[],[],['in Shaikpet '],[]
Vardhan Green Oaks,,"in Kapra , Hyderabad",by Vardhan Projects,2 Floor Plan,Possession in 2024,,[],[],['in Kapra '],['2']
Garuda Residency Myna,,"in Ameenpur , Hyderabad",by Garuda Infratech India Pvt. Ltd.,,Possession in 2027,,[],[],['in Ameenpur '],[]
Vennala Dates County,,"in Kadthal , Hyderabad",by Vennala Realty Solutions Private Limited,,Possession in 2025,,[],[],['in Kadthal '],[]
Senthan,,"in Sadashivpet , Hyderabad",by Vijay Sai Housing Projects,,Possession in 2025,,[],[],['in Sadashivpet '],[]
Toopran Susheela Enclave,,"in Saroornagar, NH 9 , Hyderabad",by Toopran Constructions Pvt. Ltd.,,Possession in 2025,,[],[],['in Saroornagar'],[]
Vanam Anuradha Nilayam,,"in Kharmanghat , Hyderabad",by Vanam Infra Projects Pvt. Ltd.,1 Floor Plan,Possession in 2025,,[],[],['in Kharmanghat '],['1']
Balaji Harmony,,"in Bandlaguda Jagir , Hyderabad",by Credon Constructions,2 Floor Plan,Possession in 2025,,[],[],['in Bandlaguda Jagir '],['2']
VEC Venkateswara Abode,,"in Chengicherla , Hyderabad",0,3 Floor Plan,Possession in 2025,,[],[],['in Chengicherla '],['3']
Mava Residency,,"in Jahangir Nagar, Talab Katta , Hyderabad",0,4 Floor Plan,Possession in 2025,,[],[],['in Jahangir Nagar'],['4']
Happy living Towers,,"in Velmala , Hyderabad",by HAPPY LIVING CONSTRUCTIONS LLP,12 Floor Plan,Possession in 2025,,[],[],['in Velmala '],['12']
MKT Urban Tree,,"in Isnapur, Outer Ring Road , Hyderabad",by MKT Praneeth Homes,19 Floor Plan,Possession in 2028,,[],[],['in Isnapur'],['19']
Firmus SS White House,,"in Jillalguda , Hyderabad",by Firmus Infrastructures Pvt. Ltd.,6 Floor Plan,Possession in 2025,,[],[],['in Jillalguda '],['6']
TNR Phool Deep Greens,,"in Uppal, NH 2 2 , Hyderabad",0,,Possession in 2027,,[],[],['in Uppal'],[]
Domains Sujana Heavens,,"in Madhura Nagar , Hyderabad",by Domain Constructions,,Possession in 2025,,[],[],['in Madhura Nagar '],[]
GVR Central Vistas,,"in Yapral , Hyderabad",by GVR Infra Projects,,Possession in 2025,,[],[],['in Yapral '],[]
Sadasiva Enclave,,"in Taramatipet , Hyderabad",0,,Possession in 2025,,[],[],['in Taramatipet '],[]
JJR Orchard,,"in Kadthal , Hyderabad",by JJR Infra Developers,,Possession in 2024,,[],[],['in Kadthal '],[]
Sri Padmavathi Olympia,,"in Farook Nagar, Vattepally , Hyderabad",by Sri Padmavathi Estates Pvt. Ltd.,,Possession in 2024,,[],[],['in Farook Nagar'],[]
Shree Ram Sunrise Nest,,"in Nizampet , Hyderabad",by Shree Ram Construction,4 Floor Plan,Possession in 2027,,[],[],['in Nizampet '],['4']
Vasudha Aspire,,"in Medchal , Hyderabad",by Vasudha Developers,,Possession in 2027,,[],[],['in Medchal '],[]
Creative Pournima,,"in Mallapur , Hyderabad",by Creative Constructions,,Possession in 2027,,[],[],['in Mallapur '],[]
Babukhan Petals,,"in Banjara Hills, NH 9 , Hyderabad",by Babukhan Properties,2 Floor Plan,Possession in 2025,,[],[],['in Banjara Hills'],['2']
