companies,prices,locations,published_by,floors,construction_status,start_price,final_price,price_range,locality,floor_plan
Divine Space,84.9 Lac -  1.41 Cr,"in Tellapur, Outer Ring Road , Hyderabad",by Divine Homes,14 Floor Plan,Possession in 2025,84.9,[- 1.41 Cr],"[('84.9', 'Lac', '1.41', 'Cr')]",['in Tellapur'],['14']
Rajapushpa Pristinia,1.07 Cr -  3.79 Cr,"in Kokapet, Outer Ring Road , Hyderabad",by Rajapushpa Properties Pvt. Ltd.,8 Floor Plan,Possession in 2027,107.0,[- 3.79 Cr],"[('1.07', 'Cr', '3.79', 'Cr')]",['in Kokapet'],['8']
Jains Fairmount Sri Ram Garden 2,79 Lac -  1.38 Cr,"in Kompally , Hyderabad",by Jain Constructions,11 Floor Plan,Possession in 2025,79.0,[- 1.38 Cr],"[('79', 'Lac', '1.38', 'Cr')]",['in Kompally '],['11']
THE TAMARIND,1.52 Cr -  1.63 Cr,"in Neknampur , Hyderabad",by EIPL Group,,Possession in 2027,152.0,[- 1.63 Cr],"[('1.52', 'Cr', '1.63', 'Cr')]",['in Neknampur '],[]
Breezy Heights,56.3 Lac -  69.8 Lac,"in Shankarpalle , Hyderabad",by Build Smiles Infra Private Limited,,Possession in 2024,56.3,[- 69.8 Lac],"[('56.3', 'Lac', '69.8', 'Lac')]",['in Shankarpalle '],[]
RK OXYGEN VALLEY,,"in Mallampet, Outer Ring Road , Hyderabad",by iDream Sai RK Infra,5 Floor Plan,Possession in 2025,,[],[],['in Mallampet'],['5']
Vilaasam,,"in Ameenpur , Hyderabad",by Mcor Projects LLP,3 Floor Plan,Ready To Move,,[],[],['in Ameenpur '],['3']
Alekhya Enclave,,"in Rai Durg , Hyderabad",by Alekhya Constructions,8 Floor Plan,Possession in 2024,,[],[],['in Rai Durg '],['8']
Siris Lotus Bloom,,"in Madhapur , Hyderabad",by B Sirisha,5 Floor Plan,Possession in 2024,,[],[],['in Madhapur '],['5']
The Imperial Residences,,"in Narsingi, Outer Ring Road , Hyderabad",by Shri Salasar Developers,5 Floor Plan,Possession in 2024,,[],[],['in Narsingi'],['5']
Rubrick Tulip,,"in Tukkuguda, Srisailam Highway , Hyderabad",by Rubrick Constructions Private Limited,19 Floor Plan,Possession in 2028,,[],[],['in Tukkuguda'],['19']
Jain Fairmount Sri Ram Garden 2,,"in Kompally , Hyderabad",by Jain Constructions,7 Floor Plan,Possession in 2025,,[],[],['in Kompally '],['7']
Fortune Celestial,,"in Talakondapalle , Hyderabad",by Fortune Infra Developers Pvt. Ltd.,,Ready To Move,,[],[],['in Talakondapalle '],[]
Sree City,,"in Agapally , Hyderabad",by S R Group,,Possession in 2026,,[],[],['in Agapally '],[]
The District,,"in Kokapet, Outer Ring Road , Hyderabad",by Sanali IT parks ,6 Floor Plan,Possession in 2025,,[],[],['in Kokapet'],['6']
Syamantaka Aurum,,"in Bachupally , Hyderabad",by Syamantaka Infra,3 Floor Plan,Possession in 2028,,[],[],['in Bachupally '],['3']
Raam Sai Castle,,"in Kukatpally, NH 9 , Hyderabad",by Raam Developers,3 Floor Plan,Ready To Move,,[],[],['in Kukatpally'],['3']
Celestial,,"in Srisailam Highway , Hyderabad",by Srivenkateswara Developers,,Ready To Move,,[],[],['in Srisailam Highway '],[]
Sukrithi IIT County,,"in Kandi , Hyderabad",by Subhagruha Projects India Pvt. Ltd.,,Ready To Move,,[],[],['in Kandi '],[]
West City Grand,,"in Sangareddy , Hyderabad",by Landmark Srigdha Developers,,Ready To Move,,[],[],['in Sangareddy '],[]
City Grande,53.4 Lac -  1.12 Cr,"in Adibatla , Hyderabad",by Navabhoomi Developers,,Ongoing,53.4,[- 1.12 Cr],"[('53.4', 'Lac', '1.12', 'Cr')]",['in Adibatla '],[]
Westerne County,,"in Shankarpalli Road , Hyderabad",by Bhashyam Realtors,,Under Construction,,[],[],['in Shankarpalli Road '],[]
Sukhii Sree Sumeru,,"in Uppal, NH 2 2 , Hyderabad",by Sukhii Group,5 Floor Plan,Possession in 2025,,[],[],['in Uppal'],['5']
APR Praveens Golden Leaf,,"in Turkayamjal , Hyderabad",by APR GROUP,2 Floor Plan,Possession in 2025,,[],[],['in Turkayamjal '],['2']
Raagaa Spaces by Fuerzaa,,"in Narepally , Hyderabad",by Fuerzaa Group,1 Floor Plan,Possession in 2025,,[],[],['in Narepally '],['1']
Ketrish Pride,,"in Korremula , Hyderabad",by Ketrish Developer,2 Floor Plan,Under Construction,,[],[],['in Korremula '],['2']
Speed Avenue,,"in Beeramguda Ramachandrapuram , Hyderabad",by Speed Infra Developers LLP,,Ready To Move,,[],[],['in Beeramguda Ramachandrapuram '],[]
RR Heights,,"in Attapur , Hyderabad",0,,Ready To Move,,[],[],['in Attapur '],[]
CK Infini Atmos Breathe,,"in Maheshwaram , Hyderabad",by CK Infini,,Ready To Move,,[],[],['in Maheshwaram '],[]
Mahathae Brindavan,,"in Shadnagar , Hyderabad",by Urban City Infra Developers,,Ready To Move,,[],[],['in Shadnagar '],[]
Vertex Viraat ,1 Cr -  1.52 Cr,"in Miyapur, NH 9 , Hyderabad",by Vertex Homes Pvt. Ltd.,7 Floor Plan,Possession in 2025,100.0,[- 1.52 Cr],"[('1', 'Cr', '1.52', 'Cr')]",['in Miyapur'],['7']
Rajapushpa Infina,2.83 Cr -  5.31 Cr,"in Manchirevula, Outer Ring Road , Hyderabad",by Rajapushpa Properties Pvt. Ltd.,4 Floor Plan,Possession in 2028,283.0,[- 5.31 Cr],"[('2.83', 'Cr', '5.31', 'Cr')]",['in Manchirevula'],['4']
GSR Avasa,,"in Kollur, Outer Ring Road , Hyderabad",by GSR Infra Group,31 Floor Plan,Possession in 2024,,[],[],['in Kollur'],['31']
Esteem,44.2 Lac -  64 Lac,"in Bachupally , Hyderabad",by Modi Builders & Realtors Pvt Ltd,6 Floor Plan,Possession in 2025,44.2,[- 64 Lac],"[('44.2', 'Lac', '64', 'Lac')]",['in Bachupally '],['6']
Makuta Horizon,2.09 Cr -  3 Cr,"in Kompally , Hyderabad",by Makuta Developers,5 Floor Plan,Possession in 2025,209.0,[- 3 Cr],"[('2.09', 'Cr', '3', 'Cr')]",['in Kompally '],['5']
Vasavi Ananda Nilayam,75 Lac -  6.02 Cr,"in LB Nagar, NH 9 , Hyderabad",by Vasavi Group,23 Floor Plan,Possession in 2027,75.0,[- 6.02 Cr],"[('75', 'Lac', '6.02', 'Cr')]",['in LB Nagar'],['23']
Mercury Township,32 Lac -  43.8 Lac,"in SriSialam Highway , Hyderabad",by Divyasri Group,,Possession in 2026,32.0,[- 43.8 Lac],"[('32', 'Lac', '43.8', 'Lac')]",['in SriSialam Highway '],[]
Sobha Waterfront,2.68 Cr -  4.52 Cr,"in Somajiguda, NH 9 , Hyderabad",by SOBHA Ltd.,6 Floor Plan,Possession in 2028,268.0,[- 4.52 Cr],"[('2.68', 'Cr', '4.52', 'Cr')]",['in Somajiguda'],['6']
Bommarillu Sarovar,,"in Chanda Nagar , Hyderabad",by Om Vinayaka Developers,10 Floor Plan,Possession in 2024,,[],[],['in Chanda Nagar '],['10']
SS White House,,"in Jillelaguda Road , Hyderabad",by Firmus Infrastructures Pvt. Ltd.,5 Floor Plan,Possession in 2025,,[],[],['in Jillelaguda Road '],['5']
APR Praveens Eterno,,"in Patighanpur, Outer Ring Road , Hyderabad",by APR Projects,6 Floor Plan,Possession in 2025,,[],[],['in Patighanpur'],['6']
Geethika,,"in Velmala , Hyderabad",by Supadha Infra Private Limited,2 Floor Plan,Possession in 2028,,[],[],['in Velmala '],['2']
Vedanta Towers,,"in Gajularamaram , Hyderabad",by Vedanta Constructions,8 Floor Plan,Possession in 2024,,[],[],['in Gajularamaram '],['8']
Sunrise Boulevard,,"in Shamirpet , Hyderabad",by Nimma Narayan Developers Pvt. Ltd.,7 Floor Plan,Possession in 2025,,[],[],['in Shamirpet '],['7']
BMR Residency,,"in Miyapur, NH 9 , Hyderabad",by SR Constructions,8 Floor Plan,Under Construction,,[],[],['in Miyapur'],['8']
SR Karan Residency,,"in Miyapur, NH 9 , Hyderabad",by SR Constructions,,Possession in 2024,,[],[],['in Miyapur'],[]
SR Savarkar Residency,,"in Miyapur, NH 9 , Hyderabad",by SR Constructions,2 Floor Plan,Under Construction,,[],[],['in Miyapur'],['2']
SR Teja Residency,,"in Miyapur, NH 9 , Hyderabad",by SR Constructions,4 Floor Plan,Under Construction,,[],[],['in Miyapur'],['4']
SR Vijaya Residency,,"in Miyapur, NH 9 , Hyderabad",by SR Constructions,,Possession in 2024,,[],[],['in Miyapur'],[]
Skanda Classic and Skanda Tradex,,"in Dundigal, Outer Ring Road , Hyderabad",by Skanda Infra,6 Floor Plan,Under Construction,,[],[],['in Dundigal'],['6']
Arkala Life,,"in Tukkuguda, Srisailam Highway , Hyderabad",by Arkala Realty & Infrastructure Pvt Ltd ARIL,19 Floor Plan,Possession in 2028,,[],[],['in Tukkuguda'],['19']
Dwaraka,,"in Khairtabad , Hyderabad",by Suvela Projects,2 Floor Plan,Possession in 2024,,[],[],['in Khairtabad '],['2']
Subhagruha Sukrithi Avanthi,,"in Patancheruvu , Hyderabad",by Subhagruha Projects India Pvt. Ltd.,,Ready To Move,,[],[],['in Patancheruvu '],[]
Lakefront Sanali Lakeview Terraces,,"in Somajiguda, NH 9 , Hyderabad",0,,Possession in 2028,,[],[],['in Somajiguda'],[]
Sree Laxmi Gardenia,,"in Patancheruvu , Hyderabad",by Sree Laxmi Developers,7 Floor Plan,Possession in 2024,,[],[],['in Patancheruvu '],['7']
Vantage KVS Raju Towers,,"in LB Nagar, NH 9 , Hyderabad",by SRI SAI SUVIDHA DEVELOPERS,13 Floor Plan,Possession in 2024,,[],[],['in LB Nagar'],['13']
Heritage County,,"in Kothur, NH 7 , Hyderabad",by BHASHYAM PROJECTS,,Under Construction,,[],[],['in Kothur'],[]
Highway County,,"in Shadnagar , Hyderabad",by Mahadhari Projects Pvt Ltd,,Ongoing,,[],[],['in Shadnagar '],[]
Texas Ranch,,"in Gachibowli , Hyderabad",by Rich West Realty,,Ready To Move,,[],[],['in Gachibowli '],[]
Sri Ganesh Residency,,"in Madhapur , Hyderabad",by Green Space Infra,,Ready To Move,,[],[],['in Madhapur '],[]
Infocity Majestic,62.7 Lac -  1.19 Cr,"in Kismatpur, Outer Ring Road , Hyderabad",by Infocity Infratech,15 Floor Plan,Possession in 2025,62.7,[- 1.19 Cr],"[('62.7', 'Lac', '1.19', 'Cr')]",['in Kismatpur'],['15']
Vasavi Crown East,75.3 Lac -  1.43 Cr,"in Uppal, NH 2 2 , Hyderabad",by Vasavi Group,8 Floor Plan,Possession in 2026,75.3,[- 1.43 Cr],"[('75.3', 'Lac', '1.43', 'Cr')]",['in Uppal'],['8']
Sikhara One,1.68 Cr -  2.55 Cr,"in Attapur , Hyderabad",by Sikhara Projects & Estates LLP,9 Floor Plan,Possession in 2024,168.0,[- 2.55 Cr],"[('1.68', 'Cr', '2.55', 'Cr')]",['in Attapur '],['9']
Organo Kandawada,9.50 Cr -  10 Cr,"in Chevella , Hyderabad",by Organo Eco Habitats Pvt. Ltd.,2 Floor Plan,Possession in 2026,950.0,[- 10 Cr],"[('9.50', 'Cr', '10', 'Cr')]",['in Chevella '],['2']
Pavani Trinity Annexe,32.2 Lac -  52.1 Lac,"in Farooqnagar , Hyderabad",0,,Possession in 2025,32.2,[- 52.1 Lac],"[('32.2', 'Lac', '52.1', 'Lac')]",['in Farooqnagar '],[]
Fuji and Paramount,,"in Jubilee Hills , Hyderabad",by Realplus Homes LLP,1 Floor Plan,Possession in 2028,,[],[],['in Jubilee Hills '],['1']
SN Enclave,55.3 Lac -  69.4 Lac,"in Suchitra , Hyderabad",by SN Kota infra,2 Floor Plan,Possession in 2026,55.3,[- 69.4 Lac],"[('55.3', 'Lac', '69.4', 'Lac')]",['in Suchitra '],['2']
Svadha Mackennas,76.9 Lac -  1.44 Cr,"in Kollur, Outer Ring Road , Hyderabad",by Svadha Projects,9 Floor Plan,Possession in 2025,76.9,[- 1.44 Cr],"[('76.9', 'Lac', '1.44', 'Cr')]",['in Kollur'],['9']
Aparna CyberHeights,92.8 Lac -  1.68 Cr,"in Osman Nagar , Hyderabad",by Aparna Constructions and Estates Pvt. Ltd.,6 Floor Plan,Possession in 2026,92.8,[- 1.68 Cr],"[('92.8', 'Lac', '1.68', 'Cr')]",['in Osman Nagar '],['6']
HPR Avani,23.6 Lac -  60 Lac,"in Kandi , Hyderabad",by Srika Projects,,Possession in 2025,23.6,[- 60 Lac],"[('23.6', 'Lac', '60', 'Lac')]",['in Kandi '],[]
Shadnagar Downtown,,"in Shadnagar , Hyderabad",by Future Acres,,Under Construction,,[],[],['in Shadnagar '],[]
Aparna Cyber Shine,,"in Osman Nagar , Hyderabad",by Aparna Constructions and Estates Pvt. Ltd.,4 Floor Plan,Possession in 2026,,[],[],['in Osman Nagar '],['4']
Akshita Heights 6,,"in Malkajgiri , Hyderabad",by Akshita Infra,18 Floor Plan,Possession in 2025,,[],[],['in Malkajgiri '],['18']
Constella,,"in Tukkuguda, Srisailam Highway , Hyderabad",by Speed Infra Developers LLP,10 Floor Plan,Possession in 2026,,[],[],['in Tukkuguda'],['10']
Greenville Lorven County,,"in Sadashivpet , Hyderabad",by Greenville Projects Pvt. Ltd.,,Possession in 2025,,[],[],['in Sadashivpet '],[]
Katyayani Estates,,"in Lemoor , Hyderabad",by Katyayani Constructions,,Possession in 2026,,[],[],['in Lemoor '],[]
Teja Sree S Flamingo,,"in Miyapur, NH 9 , Hyderabad",0,,Under Construction,,[],[],['in Miyapur'],[]
Vian Jubilee Central,,"in Shabad , Hyderabad",by Vian Estates Pvt. Ltd.,,Possession in 2025,,[],[],['in Shabad '],[]
Sri Dhanvi Marvel,,"in Narsingi, Outer Ring Road , Hyderabad",by Sri Dhanvi Infra,1 Floor Plan,Possession in 2028,,[],[],['in Narsingi'],['1']
Indo Eco O2 Zone Villas,,"in Ankushapur , Hyderabad",by INDO INFRA DEVELOPERS Pvt. Ltd.,4 Floor Plan,Possession in 2025,,[],[],['in Ankushapur '],['4']
Venkata Ramana,,"in Ameenpur , Hyderabad",by Venkata Sreenidhi Projects Pvt. Ltd.,5 Floor Plan,Possession in 2025,,[],[],['in Ameenpur '],['5']
Allied Imperial Avenue,,"in Czech Colony , Hyderabad",by Allied Infra And Developers,2 Floor Plan,Possession in 2025,,[],[],['in Czech Colony '],['2']
NMR Arcade,,"in Alwal , Hyderabad",by NMR Projects,,Possession in 2025,,[],[],['in Alwal '],[]
Sri Mani Sai S Kalyan Niwaas,,"in Kondapur , Hyderabad",0,1 Floor Plan,Possession in 2024,,[],[],['in Kondapur '],['1']
Sri Sadguru Signix Space,,"in Kukatpally, NH 9 , Hyderabad",by Sri Sadguru Constructions,,Possession in 2026,,[],[],['in Kukatpally'],[]
NLC Akarsha,,"in Ameenpur , Hyderabad",by Newland Constructions,2 Floor Plan,Ready To Move,,[],[],['in Ameenpur '],['2']
Urban Sanctuary,,"in Isnapur, Outer Ring Road , Hyderabad",by Sri Garuda Townships Private Limited,,Possession in 2025,,[],[],['in Isnapur'],[]
Risinia The Edge,,"in Pragathi Nagar, Kukatpally , Hyderabad",by Risinia Builders,5 Floor Plan,Possession in 2025,,[],[],['in Pragathi Nagar'],['5']
Bijjam Neo Green County ,,"in Maheshwaram , Hyderabad",0,,Possession in 2025,,[],[],['in Maheshwaram '],[]
Venkata Bhaktavatsala,,"in Ameenpur , Hyderabad",by Venkata Sreenidhi Projects Pvt. Ltd.,1 Floor Plan,Possession in 2025,,[],[],['in Ameenpur '],['1']
HRD Shangri La,,"in Indresham, Bachuguda , Hyderabad",by HRD Constructions and Developers,3 Floor Plan,Possession in 2027,,[],[],['in Indresham'],['3']
Blue Lotus Villas,,"in Patancheruvu , Hyderabad",by Lotus Blue Infra Project Pvt. Ltd.,2 Floor Plan,Possession in 2024,,[],[],['in Patancheruvu '],['2']
Sukrithi Samprada,,"in Sadashivpet , Hyderabad",by Subhagruha Projects India Pvt Ltd .,,Ready To Move,,[],[],['in Sadashivpet '],[]
Sreenidhi Anjana,,"in Ameenpur , Hyderabad",by Sreenidhi Projects,,Possession in 2027,,[],[],['in Ameenpur '],[]
SSM Golden Township,,"in Sangareddy , Hyderabad",by SSM Developers,,Possession in 2025,,[],[],['in Sangareddy '],[]
Highrise Lakshmi Residency,,"in Kothapet , Hyderabad",by High Rise Constructions,1 Floor Plan,Possession in 2025,,[],[],['in Kothapet '],['1']
Orick Redwood Tower,,"in Boduppal, NH 2 2 , Hyderabad",by Orick Properties Pvt. Ltd.,2 Floor Plan,Possession in 2025,,[],[],['in Boduppal'],['2']
Quorizon Navya Trinity,,"in Peerzadiguda, NH 2 2 , Hyderabad",by Quorizon Nirman,3 Floor Plan,Possession in 2025,,[],[],['in Peerzadiguda'],['3']
Dara Prime Nest,,"in Bachupally , Hyderabad",by Dara Infra,1 Floor Plan,Possession in 2025,,[],[],['in Bachupally '],['1']
Highrise Wind Flower,,"in Saidabad , Hyderabad",by Highrise Constructions,4 Floor Plan,Possession in 2025,,[],[],['in Saidabad '],['4']
SLS Vunnams Brindavan,,"in Medchal , Hyderabad",by SLS Constructions,,Possession in 2024,,[],[],['in Medchal '],[]
Gopi Gladiolus,,"in Alkapur Township, Manikonda, Outer Ring Road , Hyderabad",0,,Possession in 2024,,[],[],['in Alkapur Township'],[]
Vasanthas Surya Meadows,,"in Shankarpalle Rangareddy , Hyderabad",by Vasantha Constructions And Interiors,1 Floor Plan,Possession in 2025,,[],[],['in Shankarpalle Rangareddy '],['1']
Capitol Pristine Oak,,"in Nalagandla , Hyderabad",by Capitol Constructions,,Possession in 2025,,[],[],['in Nalagandla '],[]
Meshvi Heights,,"in Hayathnagar Khalsa , Hyderabad",by Meshvi Constructions,,Possession in 2025,,[],[],['in Hayathnagar Khalsa '],[]
Sri Chaitanya Arcade,,"in Madeenaguda , Hyderabad",by Sri Chaitanyaram Builders,1 Floor Plan,Possession in 2025,,[],[],['in Madeenaguda '],['1']
Adithi Evora,,"in Kharmanghat , Hyderabad",by Adithi Constructions,3 Floor Plan,Possession in 2025,,[],[],['in Kharmanghat '],['3']
Fortune Crystal,,"in Talakondapalle , Hyderabad",by Fortune Infra Developers Pvt. Ltd.,,Possession in 2024,,[],[],['in Talakondapalle '],[]
Urban Spaces Highgarden,,"in Chevella , Hyderabad",by Urban Spaces,,Possession in 2025,,[],[],['in Chevella '],[]
Giridhari Elite,,"in Shankarpalli Road , Hyderabad",by Giridhari Constructions,3 Floor Plan,Possession in 2027,,[],[],['in Shankarpalli Road '],['3']
Hyma My Home 99,,"in Kokapet, Outer Ring Road , Hyderabad",by Hyma Developers Pvt Ltd,4 Floor Plan,Possession in 2028,,[],[],['in Kokapet'],['4']
Prime Platina,,"in Narsingi, Outer Ring Road , Hyderabad",0,,Possession in 2025,,[],[],['in Narsingi'],[]
BS Vishans Castle,,"in Meerpet , Hyderabad",0,4 Floor Plan,Possession in 2025,,[],[],['in Meerpet '],['4']
Harika VK Trendset,,"in Vijayapuri Colony Uppal , Hyderabad",by Harika Projects,2 Floor Plan,Possession in 2025,,[],[],['in Vijayapuri Colony Uppal '],['2']
Highvision Sri Narayani Shakthi Heights,,"in Neknampur , Hyderabad",by Hivision Developers,1 Floor Plan,Possession in 2025,,[],[],['in Neknampur '],['1']
Gamut S Gateway Bhaskara,,"in Ameenpur , Hyderabad",by Gamut India Projects,3 Floor Plan,Possession in 2025,,[],[],['in Ameenpur '],['3']
NC Acropolis,,"in Ameenpur , Hyderabad",by Nithin Constructions,3 Floor Plan,Possession in 2025,,[],[],['in Ameenpur '],['3']
APR Praveens Hillside,,"in Bachupally , Hyderabad",by APR GROUP,6 Floor Plan,Possession in 2024,,[],[],['in Bachupally '],['6']
Maruti S Tulip,,"in Dilsukhnagar , Hyderabad",by Maruti Developers,,Possession in 2024,,[],[],['in Dilsukhnagar '],[]
N V R Robusta,,"in Medchal , Hyderabad",by N V R Constructions,5 Floor Plan,Possession in 2025,,[],[],['in Medchal '],['5']
My Envire Harini Enclave,,"in Kamala Nagar Dilsukhnagar , Hyderabad",by My Envire Developers Pvt Ltd,1 Floor Plan,Possession in 2024,,[],[],['in Kamala Nagar Dilsukhnagar '],['1']
Northstar SP,,"in Abids, NH 7 , Hyderabad",by Northstar Homes,2 Floor Plan,Possession in 2028,,[],[],['in Abids'],['2']
Parmesh Residency,,"in Hasmathpet , Hyderabad",0,2 Floor Plan,Possession in 2026,,[],[],['in Hasmathpet '],['2']
Maruthi Sadan,,"in Malkajgiri , Hyderabad",0,,Possession in 2025,,[],[],['in Malkajgiri '],[]
GVSR Vinay Avenue,,"in Korremula , Hyderabad",by GVSR Constructions,1 Floor Plan,Possession in 2025,,[],[],['in Korremula '],['1']
Kakatiyas Brindavanam,,"in Farooqnagar , Hyderabad",0,,Under Construction,,[],[],['in Farooqnagar '],[]
Sankalps Harmony,,"in Gajularamaram , Hyderabad",by Sankalp Infra Project,,Possession in 2027,,[],[],['in Gajularamaram '],[]
Art Living Homes,,"in Nagaram , Hyderabad",0,10 Floor Plan,Possession in 2026,,[],[],['in Nagaram '],['10']
Regalia Krishna Kunj Central Courtyard,,"in Quthbullapur, NH 7 , Hyderabad",by Regalia Smartspaces LLP,5 Floor Plan,Possession in 2025,,[],[],['in Quthbullapur'],['5']
Gruhasthali Navya Castle,,"in Peerzadiguda, NH 2 2 , Hyderabad",by Gruhasthali Projects,2 Floor Plan,Possession in 2025,,[],[],['in Peerzadiguda'],['2']
Sri Krishna Nandhana Residency,,"in Nagaram , Hyderabad",0,1 Floor Plan,Possession in 2025,,[],[],['in Nagaram '],['1']
Sri Sadguru Sahithi Aavaas,,"in Hyder Nagar, NH 9 , Hyderabad",by Sri Sadguru Constructions,,Possession in 2026,,[],[],['in Hyder Nagar'],[]
SVR Sri Ram Residency,,"in Medipally , Hyderabad",by S V R Constructions,,Possession in 2025,,[],[],['in Medipally '],[]
Hi Tech Green Farms,,"in Jogipet , Hyderabad",by Simha Developers,,Possession in 2025,,[],[],['in Jogipet '],[]
Nandana Jewel,,"in Rudraram, NH 9 , Hyderabad",by Mantoor Infrastructure Private Limited,,Possession in 2024,,[],[],['in Rudraram'],[]
Nirmal Pearl,,"in Yapral , Hyderabad",by Nirmal Shelters Pvt. Ltd.,2 Floor Plan,Possession in 2025,,[],[],['in Yapral '],['2']
Shakti Bliss Apartments,,"in Devarayamjal , Hyderabad",by Shakti Sharanya Developers,2 Floor Plan,Possession in 2026,,[],[],['in Devarayamjal '],['2']
Orange County,,"in Ibrahimpatnam , Hyderabad",by Ruchin Infra LLP,,Ready To Move,,[],[],['in Ibrahimpatnam '],[]
Green City,,"in Kadthal , Hyderabad",by Sri Naipunya Projects Pvt Ltd,,Ready To Move,,[],[],['in Kadthal '],[]
Nasa Valley,,"in Kothur, NH 7 , Hyderabad",by Sri Venkateshwara Infra Developers,,Ready To Move,,[],[],['in Kothur'],[]
Hariyali Hills,,"in Kandukur , Hyderabad",by KNR Infra India Pvt Ltd ,,Ready To Move,,[],[],['in Kandukur '],[]
Sri Lakshmi Nilayam,,"in Hakimpet Secunderabad , Hyderabad",by Sri Lakshmi Developers,,Ready To Move,,[],[],['in Hakimpet Secunderabad '],[]
Visions Arsha,1.04 Cr -  2.02 Cr,"in Tellapur, Outer Ring Road , Hyderabad",by Vision Infra Developers India Pvt Ltd,8 Floor Plan,Possession in 2025,104.0,[- 2.02 Cr],"[('1.04', 'Cr', '2.02', 'Cr')]",['in Tellapur'],['8']
Iris,7.32 Cr -  13.50 Cr,"in Rai Durg , Hyderabad",by Raghava Projects,6 Floor Plan,Possession in 2026,732.0,[- 13.50 Cr],"[('7.32', 'Cr', '13.50', 'Cr')]",['in Rai Durg '],['6']
The Regent,1.42 Cr -  2.25 Cr,"in Kondapur , Hyderabad",by Auro Realty,16 Floor Plan,Possession in 2027,142.0,[- 2.25 Cr],"[('1.42', 'Cr', '2.25', 'Cr')]",['in Kondapur '],['16']
Luxor,70.5 Lac -  1.15 Cr,"in Bachupally , Hyderabad",by Sreekalpa Builders,9 Floor Plan,Possession in 2025,70.5,[- 1.15 Cr],"[('70.5', 'Lac', '1.15', 'Cr')]",['in Bachupally '],['9']
